date,open,close,high,low,volume
2023-05-08,22.884,23.764,24.094,22.834,141296.0
2023-05-09,23.634,22.934,23.694,22.914,84550.0
2023-05-10,22.934,22.724,23.054,22.614,75839.0
2023-05-11,22.724,22.944,23.074,22.714,49073.0
2023-05-12,22.764,22.624,22.974,22.474,56468.0
2023-05-15,22.624,22.744,22.744,22.424,58715.0
2023-05-16,23.314,23.154,23.614,22.984,88787.0
2023-05-17,22.974,23.274,23.324,22.904,45005.0
2023-05-18,23.304,23.604,23.644,23.304,63019.0
2023-05-19,23.594,23.324,23.594,23.204,49283.0
2023-05-22,23.284,23.394,23.474,23.074,37218.0
2023-05-23,23.324,23.334,23.824,23.284,48273.0
2023-05-24,23.364,24.204,24.444,23.174,115942.0
2023-05-25,24.174,23.954,24.294,23.764,59344.0
2023-05-26,23.854,24.004,24.154,23.574,38667.0
2023-05-29,24.014,23.734,24.124,23.674,52343.0
2023-05-30,23.604,22.634,23.724,22.464,149964.0
2023-05-31,22.434,22.624,22.624,21.624,99598.0
2023-06-01,22.174,21.334,22.174,21.264,182591.0
2023-06-02,21.444,22.394,22.874,21.434,179945.0
2023-06-05,22.404,22.674,23.024,22.204,74202.0
2023-06-06,22.644,22.244,22.764,22.164,46496.0
2023-06-07,22.234,22.164,22.394,21.954,31470.0
2023-06-08,22.074,22.564,22.694,22.004,55374.0
2023-06-09,22.424,22.484,22.724,22.244,48943.0
2023-06-12,22.494,22.764,23.004,22.374,52506.0
2023-06-13,22.544,22.584,22.714,22.284,42616.0
2023-06-14,22.724,22.754,23.164,22.704,49135.0
2023-06-15,22.853,23.103,23.113,22.633,53451.0
2023-06-16,23.353,23.773,24.083,23.263,128792.0
2023-06-19,23.733,23.563,23.773,23.403,52421.0
2023-06-20,23.653,23.653,23.933,23.553,44258.0
2023-06-21,23.463,23.223,23.593,23.223,70942.0
2023-06-26,23.553,23.333,23.873,23.153,64647.0
2023-06-27,23.333,23.773,23.843,23.273,54304.0
2023-06-28,23.753,23.843,24.013,23.263,55113.0
2023-06-29,23.743,23.593,23.853,23.563,31803.0
2023-06-30,23.653,23.683,23.793,23.483,32524.0
2023-07-03,23.753,24.013,24.143,23.753,57417.0
2023-07-04,24.003,24.263,24.323,23.873,64353.0
2023-07-05,24.253,23.893,24.263,23.643,64369.0
2023-07-06,23.883,23.903,24.053,23.733,31109.0
2023-07-07,23.673,23.763,24.003,23.563,34677.0
2023-07-10,23.903,23.893,24.093,23.793,30551.0
2023-07-11,23.903,24.073,24.093,23.803,29428.0
2023-07-12,24.273,24.463,24.913,24.053,87679.0
2023-07-13,24.813,24.853,25.153,24.633,77256.0
2023-07-14,24.893,25.163,25.703,24.693,112197.0
2023-07-17,24.903,25.003,25.513,24.783,105210.0
2023-07-18,24.903,25.093,25.153,24.653,60404.0
2023-07-19,25.143,25.363,25.703,25.133,69478.0
2023-07-20,25.323,25.603,26.323,25.263,146719.0
2023-07-21,25.623,25.443,25.753,25.223,79283.0
2023-07-24,25.253,25.603,26.053,25.213,74086.0
2023-07-25,25.973,25.833,26.003,25.523,78846.0
2023-07-26,25.813,26.663,26.953,25.813,136485.0
2023-07-27,26.663,25.883,26.773,25.873,86005.0
2023-07-28,25.763,26.233,26.293,25.763,63793.0
2023-07-31,26.273,26.563,26.643,26.053,78683.0
2023-08-01,26.673,26.913,27.153,26.413,79581.0
2023-08-02,26.803,26.633,26.843,26.493,43739.0
2023-08-03,26.503,26.853,26.913,26.323,72296.0
2023-08-04,26.923,26.953,27.213,26.783,75888.0
2023-08-07,26.963,26.703,27.183,26.643,62548.0
2023-08-08,26.693,26.233,26.783,26.153,85166.0
2023-08-09,26.203,26.463,26.653,26.063,44753.0
2023-08-10,26.653,26.943,27.113,26.333,63286.0
2023-08-11,26.223,25.353,26.223,24.853,188027.0
2023-08-14,25.363,25.043,25.363,24.343,76913.0
2023-08-15,25.333,25.553,25.653,25.043,69713.0
2023-08-16,25.653,25.543,25.823,25.383,42122.0
2023-08-17,25.453,26.593,26.793,25.093,114707.0
2023-08-18,26.423,25.863,26.583,25.753,77159.0
2023-08-21,25.873,26.113,26.533,25.773,65022.0
2023-08-22,26.113,27.033,27.143,25.963,166072.0
2023-08-23,26.953,27.253,27.653,26.833,126140.0
2023-08-24,27.253,27.933,28.133,27.243,120063.0
2023-08-25,27.713,27.553,28.103,27.443,134449.0
2023-08-28,28.453,27.553,28.613,27.073,144000.0
2023-08-29,27.353,27.573,27.643,26.803,125516.0
2023-08-30,27.483,27.383,27.623,27.123,57483.0
2023-08-31,27.463,27.143,27.603,27.143,61101.0
2023-09-01,27.273,26.853,27.433,26.703,53486.0
2023-09-04,27.153,28.363,28.363,26.873,149620.0
2023-09-05,28.153,27.943,28.353,27.773,58782.0
2023-09-06,27.863,28.583,28.653,27.863,117771.0
2023-09-07,28.373,28.583,28.753,28.213,96995.0
2023-09-08,28.373,29.443,29.553,28.273,122102.0
2023-09-11,29.443,29.273,29.883,29.083,100327.0
2023-09-12,29.153,28.583,29.313,28.383,121195.0
2023-09-13,28.713,29.203,29.443,28.713,76890.0
2023-09-14,29.013,29.643,29.653,29.003,83697.0
2023-09-15,29.673,30.603,30.763,29.673,175908.0
2023-09-18,30.543,30.483,30.563,29.883,69256.0
2023-09-19,30.543,31.713,31.813,30.333,173904.0
2023-09-20,31.553,30.833,31.913,30.703,161615.0
2023-09-21,30.823,30.293,30.993,30.153,95897.0
2023-09-22,30.163,30.183,30.493,29.823,92231.0
2023-09-25,30.203,30.323,30.683,29.953,60798.0
2023-09-26,30.263,29.753,30.293,29.623,84084.0
2023-09-27,29.813,30.093,30.323,29.683,81700.0
2023-09-28,30.843,30.443,31.373,29.883,113311.0
2023-10-09,29.553,29.193,29.893,28.933,151123.0
2023-10-10,29.203,29.223,29.703,29.103,68419.0
2023-10-11,29.223,29.023,29.483,28.783,88412.0
2023-10-12,28.613,28.303,28.953,28.113,143277.0
2023-10-13,28.213,28.843,28.863,28.003,77884.0
2023-10-16,29.343,29.353,29.673,28.873,98246.0
2023-10-17,29.483,29.653,29.813,29.243,68035.0
2023-10-18,29.603,29.083,29.913,29.053,43633.0
2023-10-19,28.983,28.553,29.053,28.353,64316.0
2023-10-20,28.633,28.693,29.333,28.513,58422.0
2023-10-23,28.553,27.563,28.633,27.373,51794.0
2023-10-24,27.573,28.003,28.113,27.463,48837.0
2023-10-25,28.163,27.253,28.543,27.163,82669.0
2023-10-26,27.403,27.923,28.003,27.293,49370.0
2023-10-27,27.563,28.043,28.223,27.563,40230.0
2023-10-30,27.923,27.103,28.433,26.863,139505.0
2023-10-31,26.753,27.103,27.213,26.613,87478.0
2023-11-01,27.103,27.593,27.823,27.103,84420.0
2023-11-02,27.553,27.693,27.903,27.283,48908.0
2023-11-03,27.753,28.113,28.443,27.573,58673.0
2023-11-06,28.163,27.813,28.183,27.523,69897.0
2023-11-07,27.753,27.703,27.823,27.343,63642.0
2023-11-08,27.323,28.643,28.943,26.923,131229.0
2023-11-09,28.623,27.853,28.623,27.763,90081.0
2023-11-10,27.743,27.283,27.843,27.233,107498.0
2023-11-13,27.223,27.943,28.003,26.823,74938.0
2023-11-14,27.903,27.833,28.103,27.653,63513.0
2023-11-15,27.853,28.093,28.253,27.403,74271.0
2023-11-16,27.953,28.073,28.533,27.753,60788.0
2023-11-17,27.853,27.003,27.953,26.503,140948.0
2023-11-20,27.023,28.173,28.423,27.023,140275.0
2023-11-21,28.153,27.793,28.303,27.743,51142.0
2023-11-22,27.713,27.423,28.043,27.353,37090.0
2023-11-23,27.353,27.653,27.753,27.063,33505.0
2023-11-24,27.653,27.183,27.653,27.093,49859.0
2023-11-27,26.963,27.643,27.783,26.893,45056.0
2023-11-28,27.643,27.743,27.853,27.193,41045.0
2023-11-29,27.763,27.633,27.903,27.573,38322.0
2023-11-30,27.893,28.203,28.893,27.703,114852.0
2023-12-01,28.063,27.123,28.193,26.953,84206.0
2023-12-04,27.083,27.013,27.423,26.943,60114.0
2023-12-05,26.933,25.673,27.023,25.663,111265.0
2023-12-06,25.673,25.743,25.993,25.453,55282.0
2023-12-07,25.543,25.613,25.783,25.083,64960.0
2023-12-08,25.553,25.383,25.733,25.353,40043.0
2023-12-11,25.503,25.693,25.763,25.023,43923.0
2023-12-12,25.653,25.503,25.903,25.133,66970.0
2023-12-13,25.273,24.853,25.313,24.763,72857.0
2023-12-14,24.973,24.993,25.313,24.873,89740.0
2023-12-15,25.383,25.163,26.033,25.163,82012.0
2023-12-18,25.113,25.013,25.453,24.813,44701.0
2023-12-19,25.043,24.803,25.153,24.583,58713.0
2023-12-20,24.853,24.863,25.383,24.653,62546.0
2023-12-21,24.613,25.203,25.323,24.453,69414.0
2023-12-22,25.903,25.523,26.253,25.343,118970.0
2023-12-25,25.453,25.663,25.723,25.013,58160.0
2023-12-26,25.633,26.023,26.253,25.433,79465.0
2023-12-27,26.083,26.723,26.843,26.033,94760.0
2023-12-28,26.693,26.533,26.943,26.473,61184.0
2023-12-29,26.463,26.663,26.853,26.363,64331.0
2024-01-02,26.673,27.003,27.323,26.643,72107.0
2024-01-03,26.733,27.003,27.393,26.733,60186.0
2024-01-04,27.023,27.253,27.403,26.953,77602.0
2024-01-05,27.153,27.693,28.073,27.153,83894.0
2024-01-08,27.653,27.013,28.033,26.953,86988.0
2024-01-09,27.003,26.503,27.173,26.093,120736.0
2024-01-10,26.563,26.883,27.083,26.513,55086.0
2024-01-11,26.723,26.903,27.093,26.433,50752.0
2024-01-12,27.003,26.973,27.933,26.863,84474.0
2024-01-15,26.883,27.433,27.523,26.463,68593.0
2024-01-16,27.283,27.443,27.663,26.963,44772.0
2024-01-17,27.363,27.353,27.943,27.253,86388.0
2024-01-18,27.263,27.033,27.313,26.373,69695.0
2024-01-19,26.913,26.603,27.073,26.553,34476.0
2024-01-22,26.633,25.123,26.683,24.853,69398.0
2024-01-23,25.053,25.413,25.573,24.783,58595.0
2024-01-24,25.353,25.083,25.743,24.693,72153.0
2024-01-25,25.153,26.473,26.513,25.153,70304.0
2024-01-26,26.543,26.743,27.143,26.233,66294.0
2024-01-29,26.763,26.633,27.213,26.403,48779.0
2024-01-30,26.423,25.193,26.613,25.123,69410.0
2024-01-31,25.263,24.913,25.733,24.833,62913.0
2024-02-01,24.803,24.563,25.203,24.383,61535.0
2024-02-02,24.563,23.503,24.743,22.603,87001.0
2024-02-05,24.063,22.783,24.063,22.543,165311.0
2024-02-06,22.683,25.163,25.203,22.563,130156.0
2024-02-07,25.553,27.423,27.433,25.193,171864.0
2024-02-08,27.263,26.903,28.653,26.733,154283.0
2024-02-19,27.633,27.103,27.633,26.733,96346.0
2024-02-20,26.983,27.113,27.283,26.703,70040.0
2024-02-21,27.073,27.653,28.123,26.883,96372.0
2024-02-22,27.603,28.853,28.903,27.473,119756.0
2024-02-23,29.043,27.263,29.053,26.963,178326.0
2024-02-26,27.553,27.263,27.853,27.003,133154.0
2024-02-27,27.063,27.803,27.893,26.943,112461.0
2024-02-28,27.953,27.533,28.363,27.423,111417.0
2024-02-29,27.203,28.753,28.763,27.203,128626.0
2024-03-01,28.733,28.283,28.753,27.973,85956.0
2024-03-04,28.413,28.973,29.113,28.303,97966.0
2024-03-05,28.753,28.583,28.763,28.053,119837.0
2024-03-06,28.493,29.033,29.483,28.283,92760.0
2024-03-07,29.183,29.573,29.993,28.993,117393.0
2024-03-08,29.533,29.613,29.753,29.043,64707.0
2024-03-11,29.613,29.263,29.753,28.723,84804.0
2024-03-12,29.353,28.963,29.903,28.813,125848.0
2024-03-13,28.913,29.543,29.713,28.863,98400.0
2024-03-14,29.553,30.043,30.623,29.553,112334.0
2024-03-15,29.903,30.483,30.633,29.323,117899.0
2024-03-18,30.263,29.703,30.433,29.483,142755.0
2024-03-19,29.743,28.883,29.853,28.753,128937.0
2024-03-20,28.903,28.593,29.073,28.493,122822.0
2024-03-21,28.553,28.063,28.703,27.973,94402.0
2024-03-22,27.953,27.913,28.163,27.483,81776.0
2024-03-25,27.923,28.163,28.913,27.783,102748.0
2024-03-26,28.183,28.163,28.513,27.903,70510.0
2024-03-27,28.023,27.873,28.353,27.863,46934.0
2024-03-28,27.843,28.273,28.523,27.623,93854.0
2024-03-29,28.543,28.833,29.313,28.303,101156.0
2024-04-01,28.803,29.613,29.663,28.713,96004.0
2024-04-02,29.503,29.703,29.853,29.253,94192.0
2024-04-03,29.773,31.443,31.783,29.773,233578.0
2024-04-08,31.063,30.553,31.563,30.453,160364.0
2024-04-09,30.453,30.173,30.643,29.833,103117.0
2024-04-10,30.023,30.013,30.213,29.713,71295.0
2024-04-11,29.953,30.713,30.903,29.653,99477.0
2024-04-12,30.553,30.963,31.213,30.353,79450.0
2024-04-15,31.053,31.753,31.913,30.663,133262.0
2024-04-16,31.803,31.003,32.173,30.883,109773.0
2024-04-17,30.983,31.743,31.803,30.553,99008.0
2024-04-18,31.723,31.503,32.753,31.123,140235.0
2024-04-19,31.303,32.773,33.153,31.203,158903.0
2024-04-22,32.453,31.703,33.153,31.433,119966.0
2024-04-23,31.633,31.373,31.883,31.053,83670.0
2024-04-24,31.463,31.033,31.483,30.763,92268.0
2024-04-25,30.963,30.473,31.173,30.353,121343.0
2024-04-26,30.353,30.003,30.763,29.473,184396.0
2024-04-29,29.613,30.023,30.153,29.043,140837.0
2024-04-30,29.993,30.493,30.893,29.773,124144.0
2024-05-06,30.443,30.313,30.823,29.253,174757.0
2024-05-07,30.433,30.243,30.753,30.063,76602.0
2024-05-08,30.173,30.293,30.473,29.963,67101.0
2024-05-09,30.333,31.483,31.733,30.063,117416.0
2024-05-10,31.713,31.933,32.703,31.503,140662.0
2024-05-13,31.503,31.533,31.753,31.093,82696.0
2024-05-14,31.533,31.853,32.333,31.203,96703.0
2024-05-15,31.903,32.273,33.023,31.683,113244.0
2024-05-16,32.213,31.603,32.263,31.253,118195.0
2024-05-17,31.753,31.403,31.753,31.273,108442.0
2024-05-20,31.383,32.603,32.813,31.093,127078.0
2024-05-21,32.483,31.553,32.543,31.483,102634.0
2024-05-22,31.583,31.443,31.823,31.413,60367.0
2024-05-23,31.883,32.733,33.083,31.753,201074.0
2024-05-24,32.463,32.163,33.023,32.063,83049.0
2024-05-27,32.133,32.893,32.983,32.053,97642.0
2024-05-28,32.773,32.723,33.173,32.433,65340.0
2024-05-29,32.753,33.603,34.153,32.663,125584.0
2024-05-30,33.553,33.533,33.773,33.113,70857.0
2024-05-31,33.393,33.483,33.993,33.053,72017.0
2024-06-03,33.403,32.923,33.733,32.573,73398.0
2024-06-04,32.673,33.673,33.843,32.303,73436.0
2024-06-05,33.553,32.883,33.603,32.853,59200.0
2024-06-06,33.073,33.113,33.633,32.923,60059.0
2024-06-07,33.153,32.553,33.653,32.233,71811.0
2024-06-11,32.553,32.533,32.913,32.093,54990.0
2024-06-12,32.663,34.683,35.183,32.553,143315.0
2024-06-13,34.543,34.533,34.723,34.043,85218.0
2024-06-14,34.353,34.463,35.103,34.323,69530.0
2024-06-17,34.363,34.863,34.933,34.063,60347.0
2024-06-18,34.953,34.653,35.023,34.133,58538.0
2024-06-19,34.761,34.541,35.141,33.721,103687.0
